date,value
2018-01-03,1285.7454
2018-01-10,1271.4044000000001
2018-01-17,1276.0971
2018-01-24,1267.3789000000002
2018-01-31,1276.0506999999998
2018-02-07,1277.5498
2018-02-14,1281.9587000000001
2018-02-21,1286.9398
2018-02-28,1288.8842
2018-03-07,1291.6179
2018-03-14,1295.6879000000001
2018-03-21,1296.5720000000001
2018-03-28,1304.1313
2018-04-04,1307.3976
2018-04-11,1305.5500000000002
2018-04-18,1321.3112
2018-04-25,1322.6277
2018-05-02,1327.062
2018-05-09,1319.0088
2018-05-16,1318.1145
2018-05-23,1317.2851999999998
2018-05-30,1328.7635
2018-06-06,1324.4121
2018-06-13,1319.0569999999998
2018-06-20,1332.4141000000002
2018-06-27,1329.455
2018-07-04,1328.5545000000002
2018-07-11,1326.5748
2018-07-18,1323.9360000000001
2018-07-25,1317.5012
2018-08-01,1322.7477999999999
2018-08-08,1317.3878
2018-08-15,1319.0077999999999
2018-08-22,1321.6326
2018-08-29,1320.3116
2018-09-05,1322.4262
2018-09-12,1320.0391
2018-09-19,1325.1266999999998
2018-09-26,1327.4431
2018-10-03,1334.4203
2018-10-10,1335.0766999999998
2018-10-17,1340.2687
2018-10-24,1341.4657
2018-10-31,1351.3555999999999
2018-11-07,1350.9949
2018-11-14,1364.006
2018-11-21,1373.6207
2018-11-28,1368.034
2018-12-05,1369.699
2018-12-12,1369.4004
2018-12-19,1380.5971
2018-12-26,1406.1207
2019-01-02,1407.5146
2019-01-09,1393.3529
2019-01-16,1393.5929999999998
2019-01-23,1393.3339
2019-01-30,1386.7245000000003
2019-02-06,1394.0045
2019-02-13,1404.1916
2019-02-20,1409.7676999999999
2019-02-27,1406.0962
2019-03-06,1410.938
2019-03-13,1408.1438
2019-03-20,1426.0474000000002
2019-03-27,1417.898
2019-04-03,1418.2604
2019-04-10,1408.6052
2019-04-17,1420.0965999999999
2019-04-24,1418.9035
2019-05-01,1427.7305999999999
2019-05-08,1421.2718
2019-05-15,1420.9236
2019-05-22,1419.1939
2019-05-29,1417.6617
2019-06-05,1416.6
2019-06-12,1412.6063
2019-06-19,1418.4031
2019-06-26,1424.2261
2019-07-03,1425.8407000000002
2019-07-10,1415.1486
2019-07-17,1412.2381
2019-07-24,1412.6574999999998
2019-07-31,1415.5253
2019-08-07,1413.9234999999999
2019-08-14,1418.8383000000001
2019-08-21,1421.5608000000002
2019-08-28,1419.8234
2019-09-04,1418.3603
2019-09-11,1411.1113
2019-09-18,1416.9874
2019-09-25,1417.7892000000002
2019-10-02,1414.125
2019-10-09,1408.3078
2019-10-16,1417.3993
2019-10-23,1409.6479
2019-10-30,1413.1304
2019-11-06,1415.1715000000002
2019-11-13,1412.3357
2019-11-20,1411.2965
2019-11-27,1413.9274
2019-12-04,1403.5452
2019-12-11,1396.7655
2019-12-18,1405.8375
2019-12-25,1410.5323
2020-01-01,1400.1972
2020-01-08,1394.7845
2020-01-15,1397.7632
2020-01-22,1400.5708
2020-01-29,1402.2947
2020-02-05,1409.6091
2020-02-12,1409.7434
2020-02-19,1417.4782
2020-02-26,1412.674
2020-03-04,1415.3845999999999
2020-03-11,1422.9037
2020-03-18,1541.7349000000002
2020-03-25,1653.1612
2020-04-01,1700.6112
2020-04-08,1708.728
2020-04-15,1726.6471
2020-04-22,1763.7315
2020-04-29,1770.4204000000002
2020-05-06,1796.0371
2020-05-13,1785.7095
2020-05-20,1759.5289
2020-05-27,1738.5372000000002
2020-06-03,1712.2018000000003
2020-06-10,1691.6852999999999
2020-06-17,1669.9635999999998
2020-06-24,1649.2721000000001
2020-07-01,1628.0441
2020-07-08,1614.5490000000002
2020-07-15,1607.4566
2020-07-22,1599.1484
2020-07-29,1588.6055999999999
2020-08-05,1581.0929999999998
2020-08-12,1571.9387000000002
2020-08-19,1559.7911000000001
2020-08-26,1550.7824999999998
2020-09-02,1533.0396
2020-09-09,1525.6158
2020-09-16,1518.4329000000002
2020-09-23,1504.7927
2020-09-30,1488.4565999999998
2020-10-07,1481.3476
2020-10-14,1475.2729
2020-10-21,1472.8017999999997
2020-10-28,1465.6131
2020-11-04,1461.8063000000002
2020-11-11,1455.5339
